Staff Level,UserId,Username,Nickname
Security,681201289715384347,sleeplesstimes,
Club Staff,191655259200815104,doowyah,
Upper Staff,226858910114381824,majima.san,The “Host Special”
Media,476857392446046218,tatisch,
Trial Host,272949266782093312,thezomz,
Club Staff,277971643731542016,salemnightmarevr,
Club Staff,132742284730040321,blazeytaco,
Club Staff,247762069808611330,johan1369,Johan Mr.stoids
Media,432885992551219201,butterfly96,
Upper Staff,395640634146422786,slimsageyy,Slim Sageyy
Club Staff,161218923663065088,nicrolix,
Club Staff,399449196333105162,bunnywow,Doll (GoodBunny)
Security,356183655233749007,eissenpai,
Upper Staff,193918340111138816,sweetdj,
Club Staff,461942947995451393,luki44,
Media,305089420216893449,_pinkelephant_,PinkElephant
Club Staff,876996781613932575,jschllong,
Club Staff,143045637745672192,censorbar,
Media,743512240304422996,a.ava,Daddy Ava ♥
Club Staff,727209545033842739,dragonessa,
Club Staff,1123444470130688091,_ghostttt__,
Club Staff,487568565541797888,disdoc,Doc
Trial Host,787776240995401768,yenotik,GAY EGG
Upper Staff,349666431069192202,aijiro_o,
Club Staff,771556877896646677,jamjamm21,
Club Staff,1054459794586615859,melodystrwbs,melodystrwbs
Media,393162278746193931,merkh,
Club Staff,921100067660771329,killer_bigpoint,
Upper Staff,614777755598585886,xkimbee,R2D2 sexy sister
DJ,922460634011021362,roxyne,
Media,522157808536387585,.wxsh.,! Axel !
Club Staff,654438113409630215,olynox,
Club Staff,469242988409782272,cute_hamster,
Club Staff,552099684357767174,alloy9673,
Club Staff,935582309028069436,ailaurmom,
Club Staff,564188787144654848,akiithaa,
Club Staff,380450461490348033,pinkydaduck,pinky da dick
Security,281852686469431307,thenuni,El Nuni
Media,399368553884549131,sannaprikos,Røses
Club Staff,160661948244033545,uwuboba,
DJ,563639093993537536,itsmow,
Club Staff,259369595629076482,skaarpy,Skarpy
Club Staff,910563310401904650,puppykoneko,
Host,195272967377256448,irish34,
Club Staff,699765690571292758,xmaxou,
Club Staff,438599413305180161,oxetos,Mamasita
Upper Staff,201779975420903424,zessy,Zessy
Club Staff,958475186586386503,whizkey,
Media,678378639959654465,falseidol,
Club Staff,416264367978315786,yukitpn,
Upper Staff,268810754931687426,mchauge,McHauge
